,Stu Term,Unnamed: 1,Stu Admit Term,Unnamed: 3,Record ID,Stu Visa Type,Stu Attribute BAM,Stu Admit Type,Stu Primary Degree Level,Stu Primary Major 1 College,Stu Primary Program,Stu Primary Program Code,Stu Primary Department,Unnamed: 14,Stu New/Returning Ind,Stu Residency Group,Course Sect College,Stu Registered Ind,Registration Status,Registration Status Date,Course Desc,Course Section,Course Sect Schedule Type,Course Sect Instruction Delivery Method Group,Course Sect Wiley Courses Ind,Course Sect Credits,Stu Course Registered Hours
0,202310,Spring 2023,201670,Fall 2016,CEC10924,NA,'--,GR,Master,CEC,MS Operations Research,EC-MS-OPRS,SYST,Systems Engr & Operations Rsch,R,VA,CEC,Y,**Web Registered**,11/1/2022,OR 674,OR 674 001,Lecture,F2F,N,3,3
1,202310,Spring 2023,201710,Spring 2017,CEC2413,NA,'--,GR,Master,CEC,MS Data Analytics Engineering,EC-MS-DAEN,EC,Engineering & Computing,R,VA,CEC,Y,**Web Registered**,1/7/2023,DAEN 690,DAEN 690 DL4,Seminar,Online,N,3,3
2,202310,Spring 2023,201710,Spring 2017,CEC8744,NA,'--,GR,Master,CEC,MS Electrical Engineering,EC-MS-ELEN,ECE,Electrical & Comp. Engineering,R,VA,CEC,Y,**Web Registered**,1/25/2023,ECE 799,ECE 799 031,Thesis,F2F,N,1,1
3,202310,Spring 2023,201710,Spring 2017,CEC11222,NA,'--,GR,Master,CEC,MS Data Analytics Engineering,EC-MS-DAEN,EC,Engineering & Computing,R,VA,CEC,Y,**Web Registered**,11/1/2022,OR 568,OR 568 DL1,Lecture,Online,N,3,3
4,202310,Spring 2023,201770,Fall 2017,CEC2280,NA,'--,GR,Master,CEC,MS Data Analytics Engineering,EC-MS-DAEN,EC,Engineering & Computing,R,VA,BUS,Y,**Web Registered**,12/19/2022,GBUS 720,GBUS 720 001,Lecture,Mix F2F and Online,N,3,3
5,202310,Spring 2023,201770,Fall 2017,CEC4208,NA,'--,GR,Master,CEC,MS Data Analytics Engineering,EC-MS-DAEN,EC,Engineering & Computing,R,VA,CEC,Y,**Web Registered**,11/9/2022,DAEN 690,DAEN 690 DL4,Seminar,Online,N,3,3
6,202310,Spring 2023,201770,Fall 2017,CEC12944,NA,'--,GR,Master,CEC,MS Electrical Engineering,EC-MS-ELEN,ECE,Electrical & Comp. Engineering,R,VA,CEC,Y,**Web Registered**,11/14/2022,ECE 685,ECE 685 001,Lecture,F2F,N,3,3
7,202310,Spring 2023,201770,Fall 2017,CEC12944,NA,'--,GR,Master,CEC,MS Electrical Engineering,EC-MS-ELEN,ECE,Electrical & Comp. Engineering,R,VA,CEC,Y,**Web Registered**,11/14/2022,ECE 795,ECE 795 001,Seminar,F2F,N,0,0
8,202310,Spring 2023,201770,Fall 2017,CEC13940,NA,'--,GR,Master,CEC,MS Software Engineering,EC-MS-SWE,CS,Computer Science,R,VA,CEC,Y,**Web Registered**,12/18/2022,SWE 799,SWE 799 001,Thesis,F2F,N,6-Jan,1
9,202310,Spring 2023,201810,Spring 2018,CEC893,NA,'--,GR,Master,CEC,MS Computer Engineering,EC-MS-CPE,ECE,Electrical & Comp. Engineering,R,VA,CEC,Y,**Web Registered**,1/24/2023,ECE 799,ECE 799 021,Thesis,F2F,N,3,3
10,202310,Spring 2023,201810,Spring 2018,CEC15360,NA,'--,GR,Master,CEC,MS Computer Science,EC-MS-CS,CS,Computer Science,R,VA,CEC,Y,**Web Registered**,1/5/2023,CS 580,CS 580 001,Lecture,F2F,N,3,3
11,202310,Spring 2023,201810,Spring 2018,CEC15360,NA,'--,GR,Master,CEC,MS Computer Science,EC-MS-CS,CS,Computer Science,R,VA,CEC,Y,**Web Registered**,1/26/2023,CS 695,CS 695 001,Lec/Sem #1,F2F,N,3,3
12,202310,Spring 2023,201870,Fall 2018,CEC1186,NA,'--,GR,Master,CEC,MS Computer Forensics,EC-MS-CFRS,ECE,Electrical & Comp. Engineering,R,VA,CEC,Y,**Web Registered**,11/22/2022,DFOR 671,DFOR 671 001,Lecture,F2F,N,3,3
13,202310,Spring 2023,201870,Fall 2018,CEC2646,NA,'--,GR,Master,CEC,MS Computer Science,EC-MS-CS,CS,Computer Science,R,VA,CEC,Y,**Web Registered**,1/11/2023,CS 695,CS 695 003,Lec/Sem #3,F2F,N,3,3
14,202310,Spring 2023,201870,Fall 2018,CEC3456,NA,'--,GR,Master,CEC,MS Computer Science,EC-MS-CS,CS,Computer Science,R,VA,CEC,Y,**Web Registered**,11/3/2022,CS 682,CS 682 001,Lecture,F2F,N,3,3
